"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,Hughie's,"$$ • Vietnamese, Banh Mi",$$,29.7981659234278,-95.3831986856299
"Houston, TX",Houston,CVS,"$$ • Convenience, Snacks",$$,29.7633361,-95.3627949
"Houston, TX",Houston,La Fisheria,"$$ • Mexican, Tacos",$$,29.7635162,-95.362068
"Houston, TX",Houston,Clean Juice,"$$ • Smoothies, Healthy",$$,29.7904035,-95.3979767
"Houston, TX",Houston,East Side King,"$$ • Bao Bun, Shrimp",$$,29.7662149,-95.3648839
"Houston, TX",Houston,P.king Authentic Chinese Food,"$$ • Asian, Takeout",$$,29.7331198,-95.4101951
"Houston, TX",Houston,Urban Bird Hot Chicken,"$$ • Vegan Friendly, Chicken",$$,29.7237639,-95.418971
"Houston, TX",Houston,Fat Bao,"$ • Asian Food, Japanese",$,29.735152,-95.4180754
"Houston, TX",Houston,Houstatlantavegan,"$$ • Fries, burger",$$,29.7431561,-95.3746846
"Houston, TX",Houston,Laredo Taco Company,"$$ • Convenience, Snacks",$$,29.7314516,-95.3822571
"Houston, TX",Houston,Flying Fish,"$$ • Seafood, Fried Chicken",$$,29.8023816,-95.4125681
"Houston, TX",Houston,Lola,"$$ • American, Breakfast",$$,29.7911101,-95.3986134
"Houston, TX",Houston,Jenni's Noodle House,"$$ • Asian, Soup",$$,29.7381472,-95.4103748
"Houston, TX",Houston,RA Sushi,"$$ • Asian Food, Japanese",$$,29.7561567,-95.3696597
"Houston, TX",Houston,Loro Asian Smokehouse,"$$ • Snacks, Barbecue",$$,29.7907707,-95.4074284
"Houston, TX",Houston,Original ChopShop,"$$ • Acai Bowls, Juice & Smoothie",$$,29.7376681,-95.4179768
"Houston, TX",Houston,The Original Ninfa's,"$$ • Chile Relleno, Al Pastor",$$,29.75686,-95.34255
"Houston, TX",Houston,Poke Burri,"$$ • Donuts, Burritos",$$,29.7485088,-95.378323
"Houston, TX",Houston,Max's Wine Dive,"$$$ • Appetizers, Sandwiches",$$$,29.7708299,-95.4090042
"Houston, TX",Houston,"Domoishi Poke, Ramen ,Tea","$$ • Asian Fusion, Ramen",$$,29.7227081,-95.3374913
"Houston, TX",Houston,OUI EATS,"$$ • Pho, Vietnamese",$$,29.7341599,-95.3997153
"Houston, TX",Houston,The Burger Den,"$$ • Burgers, Milk Shakes",$$,29.7212426,-95.3762061
"Houston, TX",Houston,Shawarma Stop,"$$ • Coffee, Juice Bar",$$,29.7138024,-95.3816048
"Houston, TX",Houston,Prima Pasta,"$$ • Takeout, Italian",$$,29.7054557,-95.4178701
"Houston, TX",Houston,Samburger Grill & Daiquiris To Go,"$ • American, Burgers",$,29.7766907,-95.3080655
"Houston, TX",Houston,Boba Chick,"$$ • Milk Tea, Smoothies",$$,29.7245878,-95.350841
"Houston, TX",Houston,"888 Chinese Restaurant","$$ • Wings, Soup",$$,29.7143389,-95.3162341
"Houston, TX",Houston,Seoul Fried Chicken,"$$ • Korean, Sandwiches",$$,29.7226889,-95.3704827
"Houston, TX",Houston,Capriotti's Sandwich Shop,"$$ • Sandwich, Salads",$$,29.7226889,-95.3704827
"Houston, TX",Houston,Raise the Roost,"$$ • Convenience, Snacks",$$,29.7314516,-95.3822571
"Houston, TX",Houston,Texas Super Chicken and Rice,"$$ • American, Chinese",$$,29.7442596,-95.3013272
